city_names,temp
abohar,36.637
adoni,37.0955
agartala,36.687
agra,39.546
agwar,39.546
ahmadnagar,34.385998
ahmedabad,39.674
aizawl,31.226997
ajmer,37.359997
akola,36.8565
alasandigutta,37.063
aligarh,39.5065
alleppey,29.709
alwal,31.439
alwar,36.312
ambattur,32.817497
amravati,37.254
amritsar,35.254498
amroha,38.5955
anand,40.437
anantapur,36.664997
arrah,40.763
asansol,40.3325
aurangabad,34.673
avadi,33.122
bada barabil,36.592003
baharampur,39.2435
bahraigh,38.5305
bali,39.1565
bangalore,29.996
bankura,40.078
barakpur,39.1305
baramula,18.5465
barasat,39.287
barddhaman,38.9565
bareilly,39.1155
batala,34.5955
beawar,36.828
bellary,36.6205
betigeri,33.531998
bettiah,38.8825
bhadravati,32.143
bhagalpur,37.62
bhalswa jahangirpur,38.513
bhangar,38.9175
bharatpur,38.6195
bharuch,39.8065
bhatinda,36.4695
bhatpara,39.1935
bhavnagar,38.5025
bhayandar,37.4965
bhilai,35.5215
bhilai01,35.137
bhilwara,36.5475
bhimavaram,35.330498
bhind,40.323997
bhiwandi,37.3565
bhiwani,37.187
bhopal,37.481003
bhubaneshwar,36.6525
bhusaval,38.085003
bidar,32.6185
bihar,40.504498
bijapur,31.765501
bikaner,38.696
bilaspur,38.531998
bir,35.6935
bongaigaon,30.028
brahmapur,32.372
budaun,38.813
bulandshahr,39.2935
burhanpur,37.111
byatarayanpur,30.3415
calicut,29.2015
cannanore,29.372002
cawnpore,40.485
chakradharpur,38.447002
chanda,35.3345
chandannagar,39.1675
chandigarh,35.9305
chapra,40.086998
chas,40.144
chennai,31.663
chhatarpur,39.0525
chhindwara,34.817497
chicacole,34.037
chinchvad,33.864998
chirala,33.6675
chitaldrug,32.997
chittandikavundanur,32.86
chittoor,35.147003
coimbatore,31.4835
conjeeveram,34.526
cuddalore,32.1805
cuddapah,37.342003
cuttack,37.8435
dam dam,38.9045
darbhanga,39.163002
dasarhalli,30.374
davangere,35.400497
dehra dun,33.7615
dehri,40.8545
delhi cantonment,38.3935
delhi,38.893
deo,40.366497
deoghar,38.913002
dewas,36.4045
dhanbad,39.7655
dhulia,37.640503
dinapore,40.5065
dindigul,34.310997
drabar,15.999001
drug,35.4285
durgapur,39.482998
ellore,36.3805
erode,36.153503
etah,39.226
etawah,39.822002
faridabad,38.791
farrukhabad,39.7915
fatehpur,40.863
fyzabad,39.698
gadag,33.414997
gadda madiral,33.8345
ganganagar,36.8805
gaya,40.932503
ghandinagar,39.3545
ghaziabad,38.6285
godhra,37.161
gokak,33.879
gorakhpur,39.3
gulbarga,33.0845
guna,38.086998
guntur,37.086998
gurgaon,37.117
guwahati,32.262497
gwalior,40.3935
habra,38.9
haldia,34.4935
handwara,19.328999
hanumangarh,36.687
haora,39.174
hapur,37.9175
haridwar,37.2415
hazaribagh,36.832
himatnagar,38.9175
hindupur,33.839
hisar,37.387
hoshangabad,38.3325
hospet,36.2425
hosur,31.036499
hugli,39.1675
hyderabad,31.871
ichalkaranji,34.245502
imphal,31.184
indore,35.637
ingraj bazar,37.0
jabalpur,37.7175
jaipur,37.105
jalandhar,36.013
jalgaon,37.4585
jalna,33.767002
jamshedpur,39.232
jaunpur,40.924
jind,37.911
jodhpur,38.560997
junagadh,38.6725
kaithal,37.5435
kakinada,35.0435
kalamboli,37.217
kalkaji devi,38.507
kamarhati,39.2305
kanchrapara,38.767498
kapra,31.7675
karaikkudi,33.656998
karimnagar,32.7915
karnal,37.1935
karur,36.3035
katri,37.549
khammam,36.926003
khandwa,39.23
khanna,36.2195
kharagpur,39.567497
khatima,37.02
kichha,39.299503
kiratot,20.611
kochi,28.857
koiridih,39.2285
kolar,29.743
kolhapur,34.923
kolkata,38.9045
korba,38.150497
kota,39.021
kotdwara,36.4795
kottayam,30.7955
krishnanagar,38.4675
kukatpalli,31.4545
kumbakonam,32.3545
kurnool,36.841
lingampalli,31.289
loni,38.463
lucknow,40.3
ludhiana,36.222
machilipatnam,34.4435
madanapalle,31.164
madhyamgram,39.237
madurai,34.605
mahad,38.398003
mahbubnagar,32.973
mahesana,38.8025
maldah,37.0065
maler kotla,36.3325
malkajgiri,31.838999
mandsaur,34.8675
mandvi,37.451
mandya,32.434498
mangalore,30.9455
masaurhi buzurg,40.813
mathura,38.737
mau,40.580498
mauli,35.5565
meerut,37.4175
mirzapur,41.0
moga,37.1325
mokameh,40.0415
monghyr,38.841503
moradabad,39.1785
morbi,38.2605
morena,39.760998
mothihari,38.091
mukerian,32.9305
multai,35.185
mumbai,35.4995
muzaffarpur,39.504498
nadiad,40.137
nagercoil,32.3865
nagpur,38.235
naihati,39.174
najafgarh,37.737
nalgonda,36.9155
nanded,36.391
nandyal,37.476498
nangloi jat,38.035
narela,38.0415
narnaul,35.945503
nasik,34.013
nellore,34.526
new delhi,38.5825
neyveli,33.9
nizamabad,34.1345
noida,38.7475
nowgong,32.7615
ongole,34.5565
orai,40.8805
oulgaret,33.331
padiala,36.4585
palghat,32.301003
pali,38.65
pallavaram,32.17
panchkula,35.911
pandharpur,35.914997
pandhurna,36.4475
panihati,39.224
panipat,37.461
panvel,37.5675
parbhani,35.7395
pathankot,33.2975
pathardi,35.577
patiala,36.913002
patna,40.141502
petlad,40.563
prayagraj,40.754498
proddatur,37.2195
puducherry,31.789
pulimaddi,37.476498
pune,34.514
puri,28.491499
quilon,30.674002
rae bareli,40.8
raichur,34.4395
raiganj,36.426003
raipur,35.133
rajahmundry,35.164997
rajapalaiyam,34.8265
rajendranagar,31.1845
rajkot,37.974
ramgundam,33.9125
rampur,39.798
ranchi,36.358498
rasulpur,38.7475
ratlam,33.998
ratnagiri,32.7535
raurkela,38.072002
rewa,38.73
rewari,37.760998
robertsonpet,29.116001
rudarpur,39.082
saharanpur,37.440998
saharsa,37.5435
salem,34.813
salt lake city,38.924
sambalpur,38.195503
sambhal,38.189003
sangli,35.132
sannai,39.626
sardarshahr,36.226
sasaram,41.288498
satna,39.6065
saugor,37.286503
secunderabad,31.8065
shahjanpur,39.1305
shantipur,38.6935
shiliguri,32.413498
shillong,23.648
shimla,21.824
shimoga,33.601997
shivpuri,38.4655
shorapur,33.969498
shrirampur,38.8935
sikandarabad,39.161
sikar,37.332
silchar,32.1765
sirsa,37.174
sirur,35.0315
sitarganj,38.99
siwan,40.2065
solapur,33.772
songadh,36.865997
sonipat,37.911
sonpur,39.8675
soro,38.461
srinagar,18.5315
sultanpur mazra,38.048
surat,38.310997
tambaram,32.626
tanjore,33.9805
tenali,36.0415
thane,37.717
tharad,38.446
thiruvananthapuram,30.369001
tiptur,31.213001
tiruppur,34.953
tiruvannamalai,36.2045
tiruvottiyur,32.15
titagarh,39.124
trichinopoly,35.650497
trichur,29.793499
tumkur,31.38
tuticorin,30.3565
udaipur,35.6525
udipi,31.48
ujjain,35.126
ulhasnagar,37.217
uluberiya,38.7565
umreth,39.760998
unnao,40.317497
uttarpara,39.1305
vadodara,40.267498
valsad,36.85
varanasi,41.15
vasai,35.485
vellore,36.021
vidisha,38.4915
vijayawada,36.685
vishakhapatnam,33.849503
vizianagaram,34.6805
wapi,37.754498
warangal,33.0585
waraseoni,37.474
yamunanagar,37.446
